Model,Training Time (s),CV Accuracy,Test Accuracy,F1 Score,Precision,Recall
Random Forest,16.0680832862854,0.38627766599597585,0.375,0.38341614193886914,0.4238546176046176,0.375
Extra Trees,4.2921836376190186,0.3919517102615694,0.4090909090909091,0.41558307885003637,0.44699962285189554,0.4090909090909091
Gradient Boosting,185.52791047096252,0.3634607645875252,0.3409090909090909,0.3458526006821461,0.3980248917748917,0.3409090909090909
LightGBM,60.14819264411926,0.34358148893360163,0.38636363636363635,0.37057780454839284,0.37691402662993573,0.38636363636363635
Logistic Regression,3.897005796432495,0.2641851106639839,0.3409090909090909,0.3393112774906253,0.38484183944710265,0.3409090909090909
